Title	Author	Playlist	Language
はじめてのヨガ〜初心者・ゆっくりじっくりやりたい方へ	yogakana	https://www.youtube.com/watch?v=pToIjHmFshs&list=PLQ_xWw-TTVPaajdoqBg2dzwYU8gZDTMRD	ja
クンダリーニ・ヨガ　レッスン	Soon Chang	https://www.youtube.com/watch?v=AM_SsvWHGoA&list=PL6848AC1CE0A8730C	ja
ヨガ（呼吸法）	puranaweb	https://www.youtube.com/watch?v=t4yBCogrYO4&list=PL365714F39D52559D	ja
nanapi 人気ヨガ動画ベスト10	nanapi [ナナピ] | 生活の知恵があつまる情報サイト 公式チャンネル	https://www.youtube.com/watch?v=22yvfucqxzM&list=PLq1qR6zLCN8DTZd7LNrv2ydP4vPUZGped	ja
ヨガ初心者から上級者まで	adamosummer さんのチャンネル	https://www.youtube.com/watch?v=fkpZYDeIO14&list=PLDjQQ4xLrnyAVJtAVrtAvSRkvwzKZdGjk	ja
いきなりヨガ教室	心月チャンネル	https://www.youtube.com/watch?v=MgT8PSc3Rk0&list=PL5rbhW9i8jxaaf9CjHqr3n_0nGxEwgt_d	ja
筋トレしながら体を柔らかくする方法☆スロートレーニング☆ヨーガ療法	naoco yoga	https://www.youtube.com/watch?v=TMDHx0nwYdI&list=PLZgugv3hqi1bQitZH2-2zhg8gFrkQFzb-	ja
マタニティヨガ	Body Making Studio Aulii	https://www.youtube.com/watch?v=LBp36WPXDNc&list=PL4nwC1VPnG_gmsiuSUikB2x_EQp8MTqn_	ja
ヨガの修正体操 DVD	ファミリーヨガ	https://www.youtube.com/watch?v=3lTeBzzHX0M&list=PLYW_iThNTGy4eYjCzE9QeICKl7XsgjKua	ja
陰ヨガ	Yogalog 日本最大のヨガレッスン動画サイト	https://www.youtube.com/watch?v=wEe1ckkWv9k&list=PL6WYNqt716xXmFpAdlTEYWrBxcUqPOd5A	ja
一戸弘美45分癒しヨガ	HiromiIchinohe	https://www.youtube.com/watch?v=7l1yCynwn_c&list=PL0AD8C3DD7034467A	ja
【大人気のヨガコーナー♪】	HomeFitness24	https://www.youtube.com/watch?v=zRHNxkvty94&list=PL12697_AdbHOnnIYLxLNbvW60dZSRM5sP	ja
マタニティヨガ	Haidar Ali	https://www.youtube.com/watch?v=o9RclAym7FU&list=PLD3pl_RwIcDCHhHNjJlNxs3EFPylvn7Rd	ja
yoga moviesヨガの動画ロングヴァージョン4種類	どーんと噛む組合	https://www.youtube.com/watch?v=X0h0kxny6Y4&list=PL0A31E0A9B9B64708	ja
yoga ヒップ	基本からヨガに挑戦!	https://www.youtube.com/watch?v=eK2ZLoAOxAY&list=PL0498A6C9BB7DC587	ja
座りヨガ	EnergyBodyStudio	https://www.youtube.com/watch?v=t-vFD4hsfBw&list=PL5D8634642D271A97	ja
産後ヨガ	babycomejapan	https://www.youtube.com/watch?v=_sm7Qok5nHk&list=PLSZKhUQ8CTiGpS22PwaSZ2x5jS9PCXCWu	ja
ヨガ	介護動画のカイゴ大学（介護大学）	https://www.youtube.com/watch?v=HkTE6Zqics0&list=PLgj3lwhUWl1FKou5puSg5VtVI6l7rpBps	ja
ヨガ・ピラティス	姿勢から美と健康を引き出すyoga pilates	https://www.youtube.com/watch?v=pQAJttCxBvk&list=PLC7DDCF0634B71654	ja
ヨガ	Yogalog 日本最大のヨガレッスン動画サイト	https://www.youtube.com/watch?v=lkMySQ5lsws&list=PLjQNHKMzo385UZYKpB21MPtfqEsPICXdL	ja
小野洋輔のハートオブヨーガ	YOGALAND	https://www.youtube.com/watch?v=N74WzYB7dc4&list=PLqsQq1AIGGDYWNQ8X5d3qIYWhq73ULEwV	ja
体質改善ヨガ by Mio	ハッピーヨガバンクーバー	https://www.youtube.com/watch?v=DXthhBqHtwU&list=PL5-vG1NoQb9lTK7T2JjoA-7JJkK1Qo0MV	ja
ヨガ15分以内	Yogalog 日本最大のヨガレッスン動画サイト	https://www.youtube.com/watch?v=g3uZvzn8Vcs&list=PL83TNwb5zQ0lBe-RzuxH8Ws1TCFoeH8yx	ja
【ヨガ】初心者向けヨガレッスン	maki kudo	https://www.youtube.com/watch?v=rJnZVgri_7o&list=PLjJuqikFMnS9W0mEAWOXdVxpmooBEC8Mq	ja
